一下子爆發,-0.38874592,0,0,1,0,0
一下子爆發的一連串,-0.208389089,0,0,1,0,0
一夕成名,0.0,1,0,0,0,0
一大打擊,-0.4059861,0,0,1,0,0
一大步,0.048718,1,0,0,0,0
一大指標,0.02775835,1,0,0,0,0
一大突破,0.2054757,1,0,0,0,0
一大問題,-0.06945255,0,0,1,0,0
一大勝利,0.32151185,1,0,0,0,0
一大障礙,-0.04172545,0,0,1,0,0
一己之力,0.15985245,1,0,0,0,0
一分打點,0.287740425,1,0,0,0,0
一反,-0.4540008,0,0,1,0,0
一反前態,-0.2520004,0,0,1,0,0
一夫當關,0.224588275,1,0,0,0,0
一巴掌,-0.221000867,0,0,1,0,0
一心想,0.293363867,1,0,0,0,0
一手造成,-0.174794575,0,0,1,0,0
一文不值,-0.1126813,0,0,1,0,0
一日千里,0.04946985,1,0,0,0,0
一片譁然,-0.00426785,0,0,1,0,0
一再,0.0,0,0,1,0,0
一再,0.0,1,0,0,0,0
一再出現,0.02988815,1,0,0,0,0
一再叮囑,-0.0085089,0,0,1,0,0
一再受挫,-0.1315382,0,0,1,0,0
一同競爭,0.049700275,1,0,0,0,0
一吐為快,0.0957688,1,0,0,0,0
一向,0.0540008,1,0,0,0,0
一向認為,0.063013275,1,0,0,0,0
一如,0.2082702,1,0,0,0,0
一如以往,0.080425,1,0,0,0,0
一如往昔,0.1146444,1,0,0,0,0
一如預期,0.1785057,1,0,0,0,0
一字不差,0.3672341,1,0,0,0,0
一帆風順,0.21161995,1,0,0,0,0
一死,-0.4665608,0,0,1,0,0
一屁股,-0.269333867,0,0,1,0,0
一肚子氣,-0.1981327,0,0,1,0,0
一肚子壞水,-0.40328912,0,0,1,0,0
一見鍾情,0.221154175,1,0,0,0,0
一事無成,-0.166742425,0,0,1,0,0
一併打破,0.42876105,1,0,0,0,0
一併移轉,0.0270004,1,0,0,0,0
一併通過,0.0147372,1,0,0,0,0
一味,0.0,0,0,1,0,0
一味,0.0,1,0,0,0,0
一味反對,-0.248357025,0,0,1,0,0
一味討好,-0.30472395,0,0,1,0,0
一命嗚呼,-0.015151225,0,0,1,0,0
一定,0.2731792,1,0,0,0,0
一定可以,0.21417945,1,0,0,0,0
一定是,0.148786133,1,0,0,0,0
一定要,0.2795285,1,0,0,0,0
一定要像,0.234646375,1,0,0,0,0
一定時間,0.16412015,1,0,0,0,0
一定能,0.382119467,1,0,0,0,0
一定參加,0.19285785,1,0,0,0,0
一定得,0.408541867,1,0,0,0,0
一定程度,0.13533935,1,0,0,0,0
一定會,0.309482067,1,0,0,0,0
一定會是,0.20711155,1,0,0,0,0
一往情深,0.2861606,1,0,0,0,0
一枝獨秀,0.0791004,1,0,0,0,0
一爭高下,0.147357175,1,0,0,0,0
一直,0.2729052,1,0,0,0,0
一直是,0.148603467,1,0,0,0,0
一直堅持,0.29757645,1,0,0,0,0
一知半解,-0.2392019,0,0,1,0,0
一秉,0.0040008,1,0,0,0,0
一雨成災,-0.02842995,0,0,1,0,0
一律,0.0040008,1,0,0,0,0
一律列入,0.0020004,1,0,0,0,0
一昧,-0.0540008,0,0,1,0,0
一昧要求,-0.044055975,0,0,1,0,0
一流,0.09307315,1,0,0,0,0
一炮而紅,3.57E-5,1,0,0,0,0
一致,0.2731792,1,0,0,0,0
一致公認,0.26022745,1,0,0,0,0
一致支持,0.15564695,1,0,0,0,0
一致同意,0.337303,1,0,0,0,0
一致決,0.313999567,1,0,0,0,0
一致決議,0.210499675,1,0,0,0,0
一致性,0.196131867,1,0,0,0,0
一致宣布,0.1115896,1,0,0,0,0
一致建議,0.1365896,1,0,0,0,0
一致看好,0.3079327,1,0,0,0,0
一致通過,0.1238528,1,0,0,0,0
一面倒,0.0,0,0,3,1,0
一面倒,0.0,1,0,2,1,0
一個屁,-0.236000533,0,0,1,0,0
一個機會,0.18986515,1,0,0,0,0
一個頭兩個大,-0.144483633,0,0,1,0,0
一個願打一個願挨,-0.048965475,0,0,1,0,0
一哭二鬧三上吊,-0.204737329,0,0,1,0,0
一席之地,0.066161775,1,0,0,0,0
一拳,-0.1290008,0,0,1,0,0
一時大意,-0.15549495,0,0,1,0,0
一氣,-0.0135348,0,0,1,0,0
一氣之下,-0.1807326,0,0,1,0,0
一笑置之,0.0910697,1,0,0,0,0
一級棒,0.024766867,1,0,0,0,0
一般殺人罪,-0.32036608,0,0,1,0,0
一陣狂風,-0.00589815,0,0,1,0,0
一陣緊張,-0.232289275,0,0,1,0,0
一張臭臉,-0.36828115,0,0,1,0,0
一桿進洞,0.1453708,1,0,0,0,0
一統,0.0459992,1,0,0,0,0
一統江山,0.0229996,1,0,0,0,0
一貫,0.0459992,1,0,0,0,0
一逕,-0.0040008,0,0,1,0,0
一雪前恥,0.063292775,1,0,0,0,0
一勝難求,-0.02988285,0,0,1,0,0
一勝難求郎,-0.04390628,0,0,1,0,0
一廂情願,0.0,0,0,1,0,0
一廂情願,0.0,1,0,0,0,0
一掌,-0.0065013,0,0,1,0,0
一減再減,-0.25438615,0,0,1,0,0
一無所悉,-0.035979775,0,0,1,0,0
一番波折,-0.1645004,0,0,1,0,0
一番苦戰,-0.203398625,0,0,1,0,0
一發不可收拾,-0.033825,0,0,1,0,0
一筆帶過,-0.0633023,0,0,1,0,0
一開始,0.0748216,1,0,0,0,0
一意,0.21544,1,0,0,0,0
一意孤行,-0.04880665,0,0,4,0,0
一腳踹開,-0.0563838,0,0,1,0,0
一落千丈,-0.2520004,0,0,1,0,0
一路平安,0.377548725,1,0,0,0,0
一路長紅,0.1279794,1,0,0,0,0
一路順風,0.16161995,1,0,0,0,0
一路過關斬將,0.032962167,1,0,0,0,0
一路緊咬,0.107289275,1,0,0,0,0
一路趕上,0.024283125,1,0,0,0,0
一路領先,0.0085089,1,0,0,0,0
一路攀升,0.0020004,1,0,0,0,0
一路穩健,0.24298705,1,0,0,0,0
一道大菜,0.115762,1,0,0,0,0
一團混亂,-0.4520004,0,0,1,0,0
一團糟,-0.236000533,0,0,1,0,0
一摑,-0.0540008,0,0,1,0,0
一槍斃了你,-0.05115568,0,0,1,0,0
一種威脅,-0.0862198,0,0,1,0,0
一窩蜂,0.0113452,1,0,0,0,0
一語帶過,-0.1508023,0,0,1,0,0
一鳴驚人,0.12915445,1,0,0,0,0
